Date,estimated river discharge,observed river discharge
1-Mar-22,840.8582071,639
4-Mar-22,927.9165593,770
6-Mar-22,880.2945779,700
7-Mar-22,851.064483,670
9-Mar-22,850.1330659,654
10-Mar-22,860.4180619,710
11-Mar-22,870.7899413,698
14-Mar-22,870.7899413,691
21-Mar-22,923.9633423,761
22-Mar-22,904.3729372,639
23-Mar-22,790.2304202,576
31-Mar-22,476.3901752,238
3-Apr-22,527.6829816,259
5-Apr-22,1039.141389,800
8-Apr-22,914.1315923,621
10-Apr-22,910.219372,690
13-Apr-22,894.6871465,756
15-Apr-22,928.906698,786
18-Apr-22,838.0896673,640
20-Apr-22,931.8815226,760
23-Apr-22,609.1681018,383
24-Apr-22,506.4292714,352
25-Apr-22,1008.41822,705
27-Apr-22,690.524986,465
28-Apr-22,669.079052,409
30-Apr-22,618.7526338,415
3-May-22,482.8730636,339
5-May-22,448.2692786,260
8-May-22,490.342413,351
9-May-22,549.4314565,350
10-May-22,486.599684,300
13-May-22,432.3790979,279
15-May-22,498.8225746,351
18-May-22,436.760922,219
20-May-22,486.599684,250
23-May-22,513.138379,319
25-May-22,594.4279073,351
26-May-22,714.6808355,538
28-May-22,571.6784998,370
30-May-22,620.8941135,420
2-Jun-22,530.6194641,352
4-Jun-22,819.7963091,668
7-Jun-22,590.2541146,472
9-Jun-22,921.9911336,745
11-Jun-22,937.8510245,881
12-Jun-22,912.1740218,740
14-Jun-22,856.6680262,792
17-Jun-22,757.2053149,564
19-Jun-22,481.0157886,322
22-Jun-22,458.1380077,221
24-Jun-22,367.1841309,152
27-Jun-22,390.7339339,172
29-Jun-22,393.2164284,180
2-Jul-22,394.0458645,170
4-Jul-22,1869.809855,1680
7-Jul-22,611.2906325,463
12-Jul-22,672.4395027,515
22-Jul-22,459.0411332,340
24-Jul-22,394.876269,368
27-Jul-22,739.3149254,500
29-Jul-22,801.7860986,714
1-Aug-22,605.9921844,478
3-Aug-22,580.9241405,430
6-Aug-22,739.3149254,671
8-Aug-22,478.2374095,387
11-Aug-22,921.9911336,1190
13-Aug-22,1052.040752,1000
14-Aug-22,838.0896673,660
16-Aug-22,989.667176,762
18-Aug-22,989.667176,1110
21-Aug-22,858.5416089,700
28-Aug-22,1140.85731,1270
30-Aug-22,2062.855277,1710
31-Aug-22,2099.66095,1800
5-Sep-22,1671.722394,1450
7-Sep-22,1886.994447,1340
10-Sep-22,899.5209476,690
12-Sep-22,1731.212283,1400
15-Sep-22,1739.359242,1480
17-Sep-22,1013.670035,1050
18-Sep-22,1054.201296,980
20-Sep-22,1079.267033,1210
22-Sep-22,1219.074426,1080
25-Sep-22,825.2545015,621
27-Sep-22,817.0767723,563
2-Oct-22,853.8630306,
7-Oct-22,837.1682453,
10-Oct-22,907.2928726,
12-Oct-22,816.1716751,
17-Oct-22,682.5787466,
20-Oct-22,469.0413277,
22-Oct-22,464.4808128,
25-Oct-22,477.3132901,
27-Oct-22,449.1614691,
30-Oct-22,503.5691622,
